in;in;in;in;in;in;in;in;in;in;in;in;out
Muscles aches;Headaches;Throat aches;Belly aches;Cough;Running nose;Fever;Breathing issues;Diarrhoea;Tiredness;Sneezing;Vomit;Disease
2;1;2;1;3;2;1;1;1;2;2;1;0
2;1;2;1;2;2;1;1;1;2;2;1;0
2;1;2;1;3;3;1;1;1;2;2;1;0
2;1;2;1;2;3;1;1;1;2;2;1;0
2;1;2;1;3;4;1;1;1;2;2;1;0
2;1;2;1;2;4;1;1;1;2;2;1;0
3;3;1;1;3;1;2;1;1;3;1;1;0.1
3;3;1;1;3;2;2;1;1;3;1;1;0.1
3;3;2;1;3;1;2;1;1;3;1;1;0.1
3;3;2;1;3;2;2;1;1;3;1;1;0.1
3;3;1;1;3;1;2;2;1;3;1;1;0.1
3;3;1;1;3;2;2;2;1;3;1;1;0.1
3;3;2;1;3;1;2;2;1;3;1;1;0.1
3;3;2;1;3;2;2;2;1;3;1;1;0.1
3;2;1;1;3;1;2;1;1;3;1;1;0.1
3;2;1;1;3;2;2;1;1;3;1;1;0.1
3;2;2;1;3;1;2;1;1;3;1;1;0.1
3;2;2;1;3;2;2;1;1;3;1;1;0.1
3;2;1;1;3;1;2;2;1;3;1;1;0.1
3;2;1;1;3;2;2;2;1;3;1;1;0.1
3;2;2;1;3;1;2;2;1;3;1;1;0.1
3;2;2;1;3;2;2;2;1;3;1;1;0.1
2;2;2;1;3;1;2;3;1;2;1;1;0.2
2;2;2;1;3;1;2;3;1;3;1;1;0.2
2;2;2;1;3;1;2;3;2;2;1;1;0.2
2;2;2;1;3;1;2;3;2;3;1;1;0.2
1;2;2;1;3;1;2;3;1;2;1;1;0.2
1;2;2;1;3;1;2;3;1;3;1;1;0.2
1;2;2;1;3;1;2;3;2;2;1;1;0.2
1;2;2;1;3;1;2;3;2;3;1;1;0.2
2;1;2;1;3;1;2;3;1;2;1;1;0.2
2;1;2;1;3;1;2;3;1;3;1;1;0.2
2;1;2;1;3;1;2;3;2;2;1;1;0.2
2;1;2;1;3;1;2;3;2;3;1;1;0.2
1;1;2;1;3;1;2;3;1;2;1;1;0.2
1;1;2;1;3;1;2;3;1;3;1;1;0.2
1;1;2;1;3;1;2;3;2;2;1;1;0.2
1;1;2;1;3;1;2;3;2;3;1;1;0.2
2;2;1;1;3;1;2;3;1;2;1;1;0.2
2;2;1;1;3;1;2;3;1;3;1;1;0.2
2;2;1;1;3;1;2;3;2;2;1;1;0.2
2;2;1;1;3;1;2;3;2;3;1;1;0.2
1;2;1;1;3;1;2;3;1;2;1;1;0.2
1;2;1;1;3;1;2;3;1;3;1;1;0.2
1;2;1;1;3;1;2;3;2;2;1;1;0.2
1;2;1;1;3;1;2;3;2;3;1;1;0.2
2;1;1;1;3;1;2;3;1;2;1;1;0.2
2;1;1;1;3;1;2;3;1;3;1;1;0.2
2;1;1;1;3;1;2;3;2;2;1;1;0.2
2;1;1;1;3;1;2;3;2;3;1;1;0.2
1;1;1;1;3;1;2;3;1;2;1;1;0.2
1;1;1;1;3;1;2;3;1;3;1;1;0.2
1;1;1;1;3;1;2;3;2;2;1;1;0.2
1;1;1;1;3;1;2;3;2;3;1;1;0.2
1;2;1;1;3;2;2;3;1;2;2;1;0.3
1;2;1;1;3;3;2;3;1;2;2;1;0.3
1;2;1;1;3;4;2;3;1;2;2;1;0.3
1;2;1;1;2;2;2;3;1;2;2;1;0.3
1;2;1;1;2;3;2;3;1;2;2;1;0.3
1;2;1;1;2;4;2;3;1;2;2;1;0.3
1;1;1;2;3;1;2;3;2;1;1;2;0.4
