we;we;we;we;we;we;we;we;we;we;we;we;wy
Bole miesni;Bole glowy;Bole gardla;Bole brzucha;Kaszel;Katar;Goraczka;Problemy oddechowe;Biegunka;Zmeczenie;Kichanie;Wymioty;Choroba
lekkie;brak;lekkie;brak;suchy;przezroczysty;brak;brak;brak;lekkie;notoryczne;brak;przeziebienie
lekkie;brak;lekkie;brak;mokry;przezroczysty;brak;brak;brak;lekkie;notoryczne;brak;przeziebienie
lekkie;brak;lekkie;brak;suchy;zolty;brak;brak;brak;lekkie;notoryczne;brak;przeziebienie
lekkie;brak;lekkie;brak;mokry;zolty;brak;brak;brak;lekkie;notoryczne;brak;przeziebienie
lekkie;brak;lekkie;brak;suchy;zielony;brak;brak;brak;lekkie;notoryczne;brak;przeziebienie
lekkie;brak;lekkie;brak;mokry;zielony;brak;brak;brak;lekkie;notoryczne;brak;przeziebienie
silne;silne;brak;brak;suchy;brak;tak;brak;brak;silne;brak;brak;grypa
silne;silne;brak;brak;suchy;przezroczysty;tak;brak;brak;silne;brak;brak;grypa
silne;silne;lekkie;brak;suchy;brak;tak;brak;brak;silne;brak;brak;grypa
silne;silne;lekkie;brak;suchy;przezroczysty;tak;brak;brak;silne;brak;brak;grypa
silne;silne;brak;brak;suchy;brak;tak;lekkie;brak;silne;brak;brak;grypa
silne;silne;brak;brak;suchy;przezroczysty;tak;lekkie;brak;silne;brak;brak;grypa
silne;silne;lekkie;brak;suchy;brak;tak;lekkie;brak;silne;brak;brak;grypa
silne;silne;lekkie;brak;suchy;przezroczysty;tak;lekkie;brak;silne;brak;brak;grypa
silne;lekkie;brak;brak;suchy;brak;tak;brak;brak;silne;brak;brak;grypa
silne;lekkie;brak;brak;suchy;przezroczysty;tak;brak;brak;silne;brak;brak;grypa
silne;lekkie;lekkie;brak;suchy;brak;tak;brak;brak;silne;brak;brak;grypa
silne;lekkie;lekkie;brak;suchy;przezroczysty;tak;brak;brak;silne;brak;brak;grypa
silne;lekkie;brak;brak;suchy;brak;tak;lekkie;brak;silne;brak;brak;grypa
silne;lekkie;brak;brak;suchy;przezroczysty;tak;lekkie;brak;silne;brak;brak;grypa
silne;lekkie;lekkie;brak;suchy;brak;tak;lekkie;brak;silne;brak;brak;grypa
silne;lekkie;lekkie;brak;suchy;przezroczysty;tak;lekkie;brak;silne;brak;brak;grypa
lekkie;lekkie;lekkie;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
lekkie;lekkie;lekkie;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
lekkie;lekkie;lekkie;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
lekkie;lekkie;lekkie;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
brak;lekkie;lekkie;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
brak;lekkie;lekkie;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
brak;lekkie;lekkie;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
brak;lekkie;lekkie;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
lekkie;brak;lekkie;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
lekkie;brak;lekkie;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
lekkie;brak;lekkie;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
lekkie;brak;lekkie;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
brak;brak;lekkie;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
brak;brak;lekkie;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
brak;brak;lekkie;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
brak;brak;lekkie;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
lekkie;lekkie;brak;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
lekkie;lekkie;brak;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
lekkie;lekkie;brak;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
lekkie;lekkie;brak;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
brak;lekkie;brak;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
brak;lekkie;brak;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
brak;lekkie;brak;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
brak;lekkie;brak;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
lekkie;brak;brak;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
lekkie;brak;brak;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
lekkie;brak;brak;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
lekkie;brak;brak;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
brak;brak;brak;brak;suchy;brak;tak;silne;brak;lekkie;brak;brak;covid
brak;brak;brak;brak;suchy;brak;tak;silne;brak;silne;brak;brak;covid
brak;brak;brak;brak;suchy;brak;tak;silne;tak;lekkie;brak;brak;covid
brak;brak;brak;brak;suchy;brak;tak;silne;tak;silne;brak;brak;covid
brak;lekkie;brak;brak;suchy;przezroczysty;tak;silne;brak;lekkie;notoryczne;brak;alergia
brak;lekkie;brak;brak;suchy;zolty;tak;silne;brak;lekkie;notoryczne;brak;alergia
